"Species_name","toughness_young","thickness_young","SLA_young","LDMC_young","toughness_old","thickness_old","SLA_old","LDMC_old","Genus"
"Aegiphila_sp",1.222777778,0.174416667,30.31779438,166.7690055,NA,NA,NA,NA,"Aegiphila"
"Alchorneopsis_floribunda",2.548472222,0.131145833,33.56274704,246.329599,2.885,0.123,34.79630579,241.4736165,"Alchorneopsis"
"Brosimum_guianense",2.5935000005,0.140485417,27.796612135,318.3300989,3.12858333366667,0.203651389,24.2805434333333,284.0620477,"Brosimum"
"Bahuinia_pichinchensis",1.715833333,0.116125,34.14492402,306.8476242,NA,NA,NA,NA,"Bahuinia"
"Bahuinia_sp2",1.29,0.1145,49.36142035,358.015744,NA,NA,NA,NA,"Bahuinia"
"Banara_guianensis",2.158333333,0.10975,34.18067531,218.7964269,1.396666667,0.127,32.50624658,182.2953114,"Banara"
"Banara",1.9209259255,0.1516034725,33.025142955,241.8205979,1.396666667,0.127,32.50624658,182.2953114,"Banara"
"Brosimum_sp1",2.44400617266667,0.156778703666667,23.3497342366667,315.296805933333,2.61417129625,0.14913090275,25.8246227425,299.02665155,"Brosimum"
"Carapa_megistocarpa",7.806666667,0.18175,15.1863579,447.1028276,7.806666667,0.18175,15.1863579,447.1028276,"Carapa"
"Cecropia_morada",1.826111111,0.181083333,20.43117168,383.944072,1.826111111,0.181083333,20.43117168,383.944072,"Cecropia"
"Cecropia_sp",1.50324074066667,0.122777778,40.92345672,207.429772833333,1.5294444445,0.120666667,39.875875085,215.1780262,"Cecropia"
"Cojoba_arborea",0.863388889,0.086908333,45.61497008,327.3348964,NA,NA,NA,NA,"Cojoba"
"Coussapoa_villosa",NA,NA,NA,NA,2.076,0.1018,26.01693102,278.2712681,"Coussapoa"
"Croton_lechleri",NA,NA,NA,NA,0.822407407,0.125666667,62.22441806,144.2239082,"Croton"
"Macrolobium_ischnocalyx",3.628888889,0.162291667,22.66564032,259.6954203,3.628888889,0.162291667,22.66564032,259.6954203,"Macrolobium"
"Doble_hoja_tree",3.486,0.1336,19.81883656,459.6279301,3.504388889,0.13805,21.41448319,399.44968065,"Doble"
"Eugenia_sp._Guayabillo",2.74,0.170083333,21.63561253,305.6965669,2.74,0.170083333,21.63561253,305.6965669,"Eugenia"
"Garcinia_madruno",3.9275,0.2395,21.63843212,263.3076223,3.9275,0.2395,21.63843212,263.3076223,"Garcinia"
"Castilla_elastica",NA,NA,NA,NA,1.28412037,0.158152778,51.30534217,239.8892836,"Castilla"
"Henriettea_lawrancei",NA,NA,NA,NA,1.866666667,0.2461,19.84297591,247.7514529,"Henriettea"
"Huberodendron_sp1",3.341111111,0.109333333,26.16044448,243.9756192,3.341111111,0.109333333,26.16044448,243.9756192,"Huberodendron"
"Huberodendron_sp2",1.787222222,0.106833333,44.6474537,194.9246527,1.787222222,0.106833333,44.6474537,194.9246527,"Huberodendron"
"Huevo_de_mono",5.988888889,0.14,21.34216776,249.5127244,NA,NA,NA,NA,"Huevo"
"Inga_acuminata",1.403333333,0.08175,41.81121953,322.8263215,1.83,0.101027777666667,32.74644528,347.543334633333,"Inga"
"Inga_hoja_blanca",2.555095238,0.13504127,27.59989126,307.9266146,2.351724537,0.13234375025,32.1097635,311.1532483,"Inga"
"Inga_hoja_silver",3.472666667,0.1737,17.21825009,391.037155,3.472666667,0.1737,17.21825009,391.037155,"Inga"
"Inga_nobilis",3.19125,0.1629375,25.67570512,333.35833275,2.87256666666667,0.167756111,24.8023394333333,355.801762766667,"Inga"
"Inga_oerstediana",2.136666667,0.133666667,25.56797513,337.2188051,2.136666667,0.133666667,25.56797513,337.2188051,"Inga"
"Inga_similar_sp1",2.006777778,0.107116667,39.73777854,339.5016801,2.44350517839286,0.148188915244048,27.0789047541667,337.78234012381,"Inga"
"Inga_carinata",2.149155556,0.14016,29.86268507,283.1637528,2.28364598766667,0.137230416666667,27.00599499,317.6348417,"Inga"
"Inga_chocoensis",2.43003812488462,0.145993032692308,29.8492314119231,328.829571123077,2.3532253085,0.1137287035,24.834896,341.49651915,"Inga"
"Inga_sp2",2.025833333,0.097375,36.86870998,311.1727489,2.197333333,0.140366667,32.08400423,333.2231043,"Inga"
"Inga_sp4",2.367103896,0.132976299,29.69779489,334.9281944,2.608413059,0.136571483,28.10177592,341.13219925,"Inga"
"Inga_silanchensis",3.053703704,0.166305556,24.30126326,329.739675,2.57804697766667,0.151135618333333,26.64366727,327.090595533333,"Inga"
"Inga_sp8",3.5245833335,0.1847375,24.806604195,339.99734175,2.8689409725,0.147634375,26.16039516,344.215689,"Inga"
"Inga_sp9",1.337222222,0.249166667,35.1943364,308.9856083,1.337222222,0.249166667,35.1943364,308.9856083,"Inga"
"Inga_venusta",2.43003812488462,0.145993032692308,29.8492314119231,328.829571123077,2.9515162035,0.157340278,16.937028265,337.4917043,"Inga"
"Iriartea_deltoidea",10.080194446,0.215575,18.43840597,257.2688822,10.024316874,0.201762963,17.9871133166667,313.1543775,"Iriartea"
"Isertia_pittieri",NA,NA,NA,NA,1.630833333,0.138791667,15.54846578,281.7268453,"Isertia"
"Matisia_palenquiana",1.866157408,0.144763889,33.89078509,270.9700193,1.644189815,0.110486111,38.74653978,282.37927915,"Matisia"
"Melas_cafe",2.04,0.1354,23.29429992,290.8364855,1.4362,0.27825,30.85069043,190.4136187,"Melas"
"Miconia_laxivenula",1.701111111,0.207583333,26.08264284,245.2849481,1.701111111,0.207583333,26.08264284,245.2849481,"Miconia"
"Melas_serrated",2.123833333,0.123858333,36.13655709,256.270711,1.4362,0.27825,30.85069043,190.4136187,"Melas"
"Miconia_affinis",1.338388889,0.146988889,17.9434310433333,311.9695729,1.164666667,0.1594,14.41069616,356.3050247,"Miconia"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miconia_conocuatrecasii",1.3504166665,0.1328541665,38.661850795,192.55201175,1.365351852,0.1834916665,23.23958467,300.7949864,"Miconia"
"Moraceae_sp1",3.7784722225,0.1542708335,21.428982635,340.34879895,3.467777778,0.143166667,23.46939671,331.8645482,"Moraceae"
"Moraceae_sp2",2.815833333,0.14525,27.48624834,250.2311129,2.815833333,0.14525,27.48624834,250.2311129,"Moraceae"
"Moraceae",3.29715277775,0.14976041675,24.4576154875,295.289955925,2.382222222,0.084166667,39.93126469,217.4343859,"Moraceae"
"Morph005",2.541666667,0.160666667,20.21701073,439.233728,2.541666667,0.160666667,20.21701073,439.233728,"Morph005"
"Heisteria_sp",2.986805556,0.151152778,27.00979641,322.1170611,2.986805556,0.151152778,27.00979641,322.1170611,"Heisteria"
"Morph011",2.9375,0.111375,22.06845619,337.8234647,2.9375,0.111375,22.06845619,337.8234647,"Morph011"
"Morph024",NA,NA,NA,NA,2.551,0.1748,35.23009075,117.5521272,"Morph024"
"Cestrum_schlechtendalii",2.357333333,0.1421,23.73167623,357.2147125,2.6320694445,0.1283625,24.53921518,327.7174399,"Cestrum"
"Gloeospermum_grandifolium",2.369944444,0.124041667,33.28119192,312.2983905,2.369944444,0.124041667,33.28119192,312.2983905,"Gloeospermum"
"Jacaranda_copaia",1.315648148,0.1067083335,34.72913576,295.3544132,1.235185185,0.120416667,36.88405277,328.9409796,"Jacaranda"
"Morph053",2.595583333,0.124825,38.06558603,264.4224447,NA,NA,NA,NA,"Morph053"
"Morph055",NA,NA,NA,NA,2.500972222,0.127020833,36.66487947,267.6298211,"Morph055"
"Morph056",1.941111111,0.171666667,30.41248985,267.7930401,1.941111111,0.171666667,30.41248985,267.7930401,"Morph056"
"Morph064",3.127055556,0.208966667,28.4455786,177.7766134,3.490888889,0.205066667,28.400721785,176.042843,"Morph064"
"Morph064?_young�PR",3.490888889,0.205066667,28.40072178,176.042843,3.490888889,0.205066667,28.40072178,176.042843,"Morph064?"
"Protium_sp1",2.2047083335,0.1357875,27.07967719,315.1807804,2.23389197533333,0.129588889,29.36750331,339.127208366667,"Protium"
"Tapirira_guianensis",1.85452777766667,0.133283333666667,30.5768671066667,273.9447778,1.85888194425,0.128629167,31.522677335,266.70523625,"Tapirira"
"Ocotea_sp5",NA,NA,NA,NA,2.188611111,0.155666667,26.89973492,295.1702669,"Ocotea"
